Sample,Day,Sex,Washed,Treatment,Qty,ZE,vial,trial
1u,1,male,unwashed,negative,,0,1,1
1w,1,male,washed,negative,,0,1,1
2u,2,male,unwashed,negative,,0,2,1
2w,2,male,washed,negative,,0,2,1
3u,3,male,unwashed,negative,,0,3,1
3w,3,male,washed,negative,,0,3,1
4u,4,male,unwashed,negative,,0,4,1
4w,4,male,washed,negative,,0,4,1
5u,5,male,unwashed,negative,,0,5,1
5w,5,male,washed,negative,,0,5,1
6u,1,female,unwashed,negative,,0,6,1
6w,1,female,washed,negative,,0,6,1
7u,2,female,unwashed,negative,,0,7,1
7w,2,female,washed,negative,,0,7,1
8u,3,female,unwashed,negative,,0,8,1
8w,3,female,washed,negative,,0,8,1
9u,4,female,unwashed,negative,,0,9,1
9w,4,female,washed,negative,,0,9,1
10u,5,female,unwashed,negative,,0,10,1
10w,5,female,washed,negative,,0,10,1
11u,1,male,unwashed,positive,38.9168,311.3344,11,1
11w,1,male,washed,positive,2.21519,17.72152,11,1
12u,2,male,unwashed,positive,250.588,2004.704,12,1
12w,2,male,washed,positive,3.16726,25.33808,12,1
13u,3,male,unwashed,positive,101.85,814.8,13,1
13w,3,male,washed,positive,9.90207,79.21656,13,1
14u,4,male,unwashed,positive,136.115,1088.92,14,1
14w,4,male,washed,positive,1.4267,11.4136,14,1
15u,5,male,unwashed,positive,6.97465,55.7972,15,1
15w,5,male,washed,positive,3.05896,24.47168,15,1
16u,1,female,unwashed,positive,205.978,1647.824,16,1
16w,1,female,washed,positive,151.765,1214.12,16,1
17u,2,female,unwashed,positive,11.7493,93.9944,17,1
17w,2,female,washed,positive,4.80555,38.4444,17,1
18u,3,female,unwashed,positive,5.95711,47.65688,18,1
18w,3,female,washed,positive,4.39825,35.186,18,1
19u,4,female,unwashed,positive,13.7056,109.6448,19,1
19w,4,female,washed,positive,21.2406,169.9248,19,1
20u,5,female,unwashed,positive,9.71412,77.71296,20,1
20w,5,female,washed,positive,7.12047,56.96376,20,1
21u,1,male,unwashed,negative,,0,21,2
21w,1,male,washed,negative,,0,21,2
22u,2,male,unwashed,negative,,0,22,2
22w,2,male,washed,negative,,0,22,2
23u,3,male,unwashed,negative,,0,23,2
23w,3,male,washed,negative,,0,23,2
24u,4,male,unwashed,negative,,0,24,2
24w,4,male,washed,negative,,0,24,2
25u,5,male,unwashed,negative,,0,25,2
25w,5,male,washed,negative,,0,25,2
26u,1,female,unwashed,negative,,0,26,2
26w,1,female,washed,negative,,0,26,2
27u,2,female,unwashed,negative,,0,27,2
27w,2,female,washed,negative,,0,27,2
28u,3,female,unwashed,negative,,0,28,2
28w,3,female,washed,negative,,0,28,2
29u,4,female,unwashed,negative,,0,29,2
29w,4,female,washed,negative,,0,29,2
30u,5,female,unwashed,negative,,0,30,2
30w,5,female,washed,negative,,0,30,2
31u,1,male,unwashed,positive,30.8899,247.1192,31,2
31w,1,male,washed,positive,5.12299,40.98392,31,2
32u,2,male,unwashed,positive,66.0569,528.4552,32,2
32u,2,male,washed,positive,24.7408,197.9264,32,2
33u,3,male,unwashed,positive,13.6892,109.5136,33,2
33w,3,male,washed,positive,9.29359,74.34872,33,2
34u,4,male,unwashed,positive,68.5751,548.6008,34,2
34w,4,male,washed,positive,2.00738,16.05904,34,2
35u,5,male,unwashed,positive,12.8405,102.724,35,2
35w,5,male,washed,positive,1.90864,15.26912,35,2
36u,1,female,unwashed,positive,228.382,1827.056,36,2
36w,1,female,washed,positive,7.49117,59.92936,36,2
37u,2,female,unwashed,positive,251.67,2013.36,37,2
37w,2,female,washed,positive,1.06809,8.54472,37,2
38u,3,female,unwashed,positive,89.7928,718.3424,38,2
38w,3,female,washed,positive,3.29505,26.3604,38,2
39u,4,female,unwashed,positive,34.0686,272.5488,39,2
39w,4,female,washed,positive,3.60338,28.82704,39,2
40u,5,female,unwashed,positive,25.8127,206.5016,40,2
40w,5,female,washed,positive,14.8056,118.4448,40,2
41u,1,male,unwashed,hk,73.5698,588.5584,41,2
41w,1,male,washed,hk,14.2627,114.1016,41,2
