day,treatment,sex,vial,mortality
1,negative,male,1,1
1,negative,male,1,1
1,negative,male,1,1
1,negative,male,1,0
1,negative,male,1,0
1,negative,male,2,1
1,negative,male,2,1
1,negative,male,2,1
1,negative,male,2,1
1,negative,male,2,0
1,negative,male,3,1
1,negative,male,3,1
1,negative,male,3,1
1,negative,male,3,0
1,negative,male,3,0
1,negative,male,4,1
1,negative,male,4,1
1,negative,male,4,1
1,negative,male,4,1
1,negative,male,4,0
1,negative,female,5,1
1,negative,female,5,1
1,negative,female,5,1
1,negative,female,5,0
1,negative,female,5,0
1,negative,female,6,1
1,negative,female,6,1
1,negative,female,6,1
1,negative,female,6,1
1,negative,female,6,1
1,negative,female,7,1
1,negative,female,7,1
1,negative,female,7,1
1,negative,female,7,1
1,negative,female,7,0
1,negative,female,8,1
1,negative,female,8,1
1,negative,female,8,1
1,negative,female,8,0
1,negative,female,8,0
1,supe,male,9,1
1,supe,male,9,1
1,supe,male,9,1
1,supe,male,9,1
1,supe,male,9,0
1,supe,male,10,1
1,supe,male,10,1
1,supe,male,10,1
1,supe,male,10,1
1,supe,male,10,0
1,supe,male,11,1
1,supe,male,11,1
1,supe,male,11,1
1,supe,male,11,0
1,supe,male,11,0
1,supe,male,12,1
1,supe,male,12,1
1,supe,male,12,1
1,supe,male,12,0
1,supe,male,12,0
1,supe,female,13,1
1,supe,female,13,1
1,supe,female,13,1
1,supe,female,13,1
1,supe,female,13,0
1,supe,female,14,1
1,supe,female,14,1
1,supe,female,14,1
1,supe,female,14,1
1,supe,female,14,0
1,supe,female,15,1
1,supe,female,15,1
1,supe,female,15,1
1,supe,female,15,1
1,supe,female,15,1
1,supe,female,16,1
1,supe,female,16,0
1,positive,male,17,1
1,positive,male,17,1
1,positive,male,17,1
1,positive,male,17,0
1,positive,male,17,0
1,positive,male,18,1
1,positive,male,18,1
1,positive,male,18,1
1,positive,male,18,0
1,positive,male,18,0
1,positive,male,19,1
1,positive,male,19,1
1,positive,male,19,1
1,positive,male,19,1
1,positive,male,19,1
1,positive,male,20,1
1,positive,male,20,1
1,positive,male,20,0
1,positive,female,21,1
1,positive,female,21,1
1,positive,female,21,1
1,positive,female,21,0
1,positive,female,21,0
1,positive,female,22,1
1,positive,female,22,1
1,positive,female,22,1
1,positive,female,22,0
1,positive,female,22,0
1,positive,female,23,1
1,positive,female,23,1
1,positive,female,23,1
1,positive,female,23,1
1,positive,female,23,1
1,positive,female,24,1
1,positive,female,24,1
1,positive,female,24,1
1,positive,female,24,1
1,positive,female,24,1
2,negative,male,1,1
2,negative,male,1,1
2,negative,male,1,1
2,negative,male,1,0
2,negative,male,1,0
2,negative,male,2,1
2,negative,male,2,1
2,negative,male,2,1
2,negative,male,2,0
2,negative,male,2,0
2,negative,male,3,1
2,negative,male,3,0
2,negative,male,3,0
2,negative,male,3,0
2,negative,male,3,0
2,negative,male,4,0
2,negative,male,4,0
2,negative,male,4,0
2,negative,male,4,0
2,negative,male,4,0
2,negative,female,5,1
2,negative,female,5,1
2,negative,female,5,0
2,negative,female,5,0
2,negative,female,5,0
2,negative,female,6,1
2,negative,female,6,1
2,negative,female,6,1
2,negative,female,6,0
2,negative,female,6,0
2,negative,female,7,1
2,negative,female,7,1
2,negative,female,7,0
2,negative,female,7,0
2,negative,female,7,0
2,negative,female,8,0
2,negative,female,8,0
2,negative,female,8,0
2,negative,female,8,0
2,negative,female,8,0
2,supe,male,9,1
2,supe,male,9,1
2,supe,male,9,0
2,supe,male,9,0
2,supe,male,9,0
2,supe,male,10,0
2,supe,male,10,0
2,supe,male,10,0
2,supe,male,10,0
2,supe,male,10,0
2,supe,male,11,0
2,supe,male,11,0
2,supe,male,11,0
2,supe,male,11,0
2,supe,male,11,0
2,supe,male,12,1
2,supe,male,12,0
2,supe,male,12,0
2,supe,male,12,0
2,supe,male,12,0
2,supe,female,13,0
2,supe,female,13,0
2,supe,female,13,0
2,supe,female,13,0
2,supe,female,13,0
2,supe,female,14,0
2,supe,female,14,0
2,supe,female,14,0
2,supe,female,14,0
2,supe,female,14,0
2,supe,female,15,0
2,supe,female,15,0
2,supe,female,15,0
2,supe,female,15,0
2,supe,female,15,0
2,supe,female,16,0
2,supe,female,16,0
2,positive,male,17,1
2,positive,male,17,0
2,positive,male,17,0
2,positive,male,17,0
2,positive,male,17,0
2,positive,male,18,1
2,positive,male,18,0
2,positive,male,18,0
2,positive,male,18,0
2,positive,male,18,0
2,positive,male,19,1
2,positive,male,19,1
2,positive,male,19,1
2,positive,male,19,1
2,positive,male,19,1
2,positive,male,20,0
2,positive,male,20,0
2,positive,male,20,0
2,positive,female,21,1
2,positive,female,21,1
2,positive,female,21,0
2,positive,female,21,0
2,positive,female,21,0
2,positive,female,22,1
2,positive,female,22,0
2,positive,female,22,0
2,positive,female,22,0
2,positive,female,22,0
2,positive,female,23,1
2,positive,female,23,0
2,positive,female,23,0
2,positive,female,23,0
2,positive,female,23,0
2,positive,female,24,1
2,positive,female,24,0
2,positive,female,24,0
2,positive,female,24,0
2,positive,female,24,0
3,negative,male,1,0
3,negative,male,1,0
3,negative,male,1,0
3,negative,male,1,0
3,negative,male,1,0
3,negative,male,2,1
3,negative,male,2,0
3,negative,male,2,0
3,negative,male,2,0
3,negative,male,2,0
3,negative,male,3,0
3,negative,male,3,0
3,negative,male,3,0
3,negative,male,3,0
3,negative,male,3,0
3,negative,male,4,0
3,negative,male,4,0
3,negative,male,4,0
3,negative,male,4,0
3,negative,male,4,0
3,negative,female,5,1
3,negative,female,5,0
3,negative,female,5,0
3,negative,female,5,0
3,negative,female,5,0
3,negative,female,6,0
3,negative,female,6,0
3,negative,female,6,0
3,negative,female,6,0
3,negative,female,6,0
3,negative,female,7,0
3,negative,female,7,0
3,negative,female,7,0
3,negative,female,7,0
3,negative,female,7,0
3,negative,female,8,0
3,negative,female,8,0
3,negative,female,8,0
3,negative,female,8,0
3,negative,female,8,0
3,supe,male,9,0
3,supe,male,9,0
3,supe,male,9,0
3,supe,male,9,0
3,supe,male,9,0
3,supe,male,10,0
3,supe,male,10,0
3,supe,male,10,0
3,supe,male,10,0
3,supe,male,10,0
3,supe,male,11,0
3,supe,male,11,0
3,supe,male,11,0
3,supe,male,11,0
3,supe,male,11,0
3,supe,male,12,0
3,supe,male,12,0
3,supe,male,12,0
3,supe,male,12,0
3,supe,male,12,0
3,supe,female,13,0
3,supe,female,13,0
3,supe,female,13,0
3,supe,female,13,0
3,supe,female,13,0
3,supe,female,14,0
3,supe,female,14,0
3,supe,female,14,0
3,supe,female,14,0
3,supe,female,14,0
3,supe,female,15,0
3,supe,female,15,0
3,supe,female,15,0
3,supe,female,15,0
3,supe,female,15,0
3,supe,female,16,0
3,supe,female,16,0
3,positive,male,17,0
3,positive,male,17,0
3,positive,male,17,0
3,positive,male,17,0
3,positive,male,17,0
3,positive,male,18,0
3,positive,male,18,0
3,positive,male,18,0
3,positive,male,18,0
3,positive,male,18,0
3,positive,male,19,1
3,positive,male,19,0
3,positive,male,19,0
3,positive,male,19,0
3,positive,male,19,0
3,positive,male,20,0
3,positive,male,20,0
3,positive,male,20,0
3,positive,female,21,0
3,positive,female,21,0
3,positive,female,21,0
3,positive,female,21,0
3,positive,female,21,0
3,positive,female,22,0
3,positive,female,22,0
3,positive,female,22,0
3,positive,female,22,0
3,positive,female,22,0
3,positive,female,23,0
3,positive,female,23,0
3,positive,female,23,0
3,positive,female,23,0
3,positive,female,23,0
3,positive,female,24,0
3,positive,female,24,0
3,positive,female,24,0
3,positive,female,24,0
3,positive,female,24,0
4,negative,male,1,0
4,negative,male,1,0
4,negative,male,1,0
4,negative,male,1,0
4,negative,male,1,0
4,negative,male,2,0
4,negative,male,2,0
4,negative,male,2,0
4,negative,male,2,0
4,negative,male,2,0
4,negative,male,3,0
4,negative,male,3,0
4,negative,male,3,0
4,negative,male,3,0
4,negative,male,3,0
4,negative,male,4,0
4,negative,male,4,0
4,negative,male,4,0
4,negative,male,4,0
4,negative,male,4,0
4,negative,female,5,0
4,negative,female,5,0
4,negative,female,5,0
4,negative,female,5,0
4,negative,female,5,0
4,negative,female,6,0
4,negative,female,6,0
4,negative,female,6,0
4,negative,female,6,0
4,negative,female,6,0
4,negative,female,7,0
4,negative,female,7,0
4,negative,female,7,0
4,negative,female,7,0
4,negative,female,7,0
4,negative,female,8,0
4,negative,female,8,0
4,negative,female,8,0
4,negative,female,8,0
4,negative,female,8,0
4,supe,male,9,0
4,supe,male,9,0
4,supe,male,9,0
4,supe,male,9,0
4,supe,male,9,0
4,supe,male,10,0
4,supe,male,10,0
4,supe,male,10,0
4,supe,male,10,0
4,supe,male,10,0
4,supe,male,11,0
4,supe,male,11,0
4,supe,male,11,0
4,supe,male,11,0
4,supe,male,11,0
4,supe,male,12,0
4,supe,male,12,0
4,supe,male,12,0
4,supe,male,12,0
4,supe,male,12,0
4,supe,female,13,0
4,supe,female,13,0
4,supe,female,13,0
4,supe,female,13,0
4,supe,female,13,0
4,supe,female,14,0
4,supe,female,14,0
4,supe,female,14,0
4,supe,female,14,0
4,supe,female,14,0
4,supe,female,15,0
4,supe,female,15,0
4,supe,female,15,0
4,supe,female,15,0
4,supe,female,15,0
4,supe,female,16,0
4,supe,female,16,0
4,positive,male,17,0
4,positive,male,17,0
4,positive,male,17,0
4,positive,male,17,0
4,positive,male,17,0
4,positive,male,18,0
4,positive,male,18,0
4,positive,male,18,0
4,positive,male,18,0
4,positive,male,18,0
4,positive,male,19,0
4,positive,male,19,0
4,positive,male,19,0
4,positive,male,19,0
4,positive,male,19,0
4,positive,male,20,0
4,positive,male,20,0
4,positive,male,20,0
4,positive,female,21,0
4,positive,female,21,0
4,positive,female,21,0
4,positive,female,21,0
4,positive,female,21,0
4,positive,female,22,0
4,positive,female,22,0
4,positive,female,22,0
4,positive,female,22,0
4,positive,female,22,0
4,positive,female,23,0
4,positive,female,23,0
4,positive,female,23,0
4,positive,female,23,0
4,positive,female,23,0
4,positive,female,24,0
4,positive,female,24,0
4,positive,female,24,0
4,positive,female,24,0
4,positive,female,24,0
