"Sample.Name","Ct","Qty","ipc.Ct","inhibited"
"2_50_1",31.0071,0.647823,31.4724,0
"2_50_2",0,0,30.9657,0
"4_25_1",0,0,31.1148,0
"4_25_2",26.5827,14.7671,28.3446,0
"4_25_3",0,0,30.4036,0
"4_25_4",0,0,30.9116,0
"4_50_2",30.5165,0.916264,30.4743,0
"4_50_3",0,0,31.0555,0
"4_50_4",0,0,30.9549,0
"6_50_1",32.4881,0.22748,30.6601,0
"6_50_2",0,0,40,1
"6_50_4",48.8124,0,31.585,0
"6_50_3",0,0,31.076,0
"6_50_5",0,0,32.0657,0
"6_50_6",0,0,31.1817,0
"8_12.5_1",0,0,30.678,0
"8_12.5_2",0,0,31.3561,0
"8_12.5_3",30.7789,0.761171,30.3422,0
"8_25_2",47.8807,0,31.297,0
"8_25_3",0,0,31.4472,0
"8_25_4",0,0,31.399,0
"8_25_5",37.7615,0.00547757,31.2796,0
"8_25_6",0,0,31.1106,0
"8_25_7",36.2055,0.0164478,31.479,0
"8_25_8",0,0,31.4366,0
"8_50_1",36.9412,0.00977961,30.7756,0
"8_50_2",0,0,30.8914,0
"8_50_4",35.3994,0.0290737,30.8268,0
"8_50_5",0,0,30.9102,0
"8_50_6",29.9911,1.3282,30.2505,0
"8_50_7",32.1779,0.283233,30.6963,0
"8_50_8",0,0,40,1
"10_50_1",0,0,40,1
"10_50_2",0,0,31.5685,0
"10_50_3",32.0372,0.312847,30.7027,0
"10_50_4",0,0,40,1
"quiagen_neg",0,0,31.6129,0
"10_50_6",0,0,40,1
"10_50_7",48.8608,0,32.2522,0
"10_50_8",0,0,40,1
"10_50_9",0,0,40,1
"10_50_10",0,0,40,1
"12_25_1",0,0,31.0077,0
"12_25_2",0,0,31.1562,0
"12_25_3",0,0,30.8566,0
"12_25_4",0,0,31.3033,0
"12_25_5",0,0,31.3853,0
"12_25_6",44.3841,0,31.6627,0
"12_25_7",49.1353,0,31.3007,0
"12_25_8",0,0,31.318,0
"12_25_10",25.8223,25.2732,28.0569,0
"12_25_11",43.3378,0,31.0939,0
"12_50_2",0,0,30.972,0
"12_50_3",0,0,31.0777,0
"12_50_4",0,0,30.7063,0
"12_50_5",0,0,30.568,0
"12_50_6",0,0,31.264,0
"12_50_7_a",45.6667,0,31.2227,0
"12_50_7_b",0,0,31.2233,0
"12_50_8",0,0,31.7973,0
"12_50_11",0,0,31.2112,0
"12_50_12",0,0,31.4081,0
"14_50_1",33.3717,0.121839,31.0788,0
"14_50_2",34.11,0.0723097,31.3876,0
"14_50_3",36.1608,0.0169757,30.7233,0
"14_50_6",30.4912,0.932815,30.1493,0
"14_50_4",0,0,30.7618,0
"16_12.5_1",0,0,40,1
"16_12.5_2",0,0,40,1
"16_12.5_3",0,0,30.5822,0
"16_12.5_4",0,0,40,1
"16_12.5_6",0,0,31.662,0
"16_12.5_7",0,0,30.9155,0
"16_12.5_8",0,0,40,1
"16_12.5_9",35.3776,0.0295239,31.0078,0
"16_12.5_10",0,0,31.0712,0
"16_12.5_11",0,0,31.2345,0
"16_12.5_12",0,0,31.1575,0
"16_12.5_13",0,0,31.1738,0
"16_12.5_14",0,0,30.9395,0
"16_12.5_16",49.4977,0,31.0889,0
